k,Loops to solve,Solving Count,Random Moves,Solving Moves
4,5,4,"[{:pole=>1, :level=>0}, {:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>1, :level=>1}]","[{:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>0}, {:pole=>1, :level=>0}]"
4,5,4,"[{:pole=>1, :level=>0}, {:pole=>0, :level=>0}, {:pole=>0, :level=>1}, {:pole=>3, :level=>1}]","[{:pole=>3, :level=>1}, {:pole=>0, :level=>1}, {:pole=>0, :level=>0}, {:pole=>1, :level=>0}]"
4,8,4,"[{:pole=>2, :level=>1}, {:pole=>1, :level=>1}, {:pole=>1, :level=>0}, {:pole=>2, :level=>1}]","[{:pole=>1, :level=>0}, {:pole=>2, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}]"
4,6,4,"[{:pole=>0, :level=>1}, {:pole=>3, :level=>0}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}]","[{:pole=>0, :level=>1}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}]"
4,7,4,"[{:pole=>1, :level=>0}, {:pole=>2, :level=>0}, {:pole=>0, :level=>0}, {:pole=>3, :level=>0}]","[{:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}]"
5,5,5,"[{:pole=>3, :level=>1}, {:pole=>3, :level=>0}, {:pole=>0, :level=>0}, {:pole=>0, :level=>1}, {:pole=>0, :level=>0}]","[{:pole=>0, :level=>1}, {:pole=>3, :level=>1}, {:pole=>3, :level=>0}, {:pole=>0, :level=>0}, {:pole=>0, :level=>0}]"
5,2,2,"[{:pole=>0, :level=>0}, {:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>0}, {:pole=>0, :level=>1}]","[{:pole=>0, :level=>1}, {:pole=>2, :level=>1}]"
5,16,5,"[{:pole=>1, :level=>0}, {:pole=>0, :level=>0}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}, {:pole=>1, :level=>1}]","[{:pole=>1, :level=>1}, {:pole=>0, :level=>0}, {:pole=>2, :level=>0}, {:pole=>1, :level=>0}, {:pole=>1, :level=>0}]"
5,5,5,"[{:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}]","[{:pole=>2, :level=>1}, {:pole=>1, :level=>0}, {:pole=>3, :level=>0}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
5,7,5,"[{:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>2, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>0}]","[{:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>1, :level=>0}, {:pole=>3, :level=>1}, {:pole=>2, :level=>1}]"
